number_particles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,0.137780711,0.36229365,0.493539932,0.325048335,0.330969289,0.484272754,0.517316702,0.393645895,0.195986392,0.480601205,0.285906826,0.438819899,0.209668724,0.335161362,0.386256321,0.220757734,0.624144854,0.289968769,0.783406455,1.233501265
8,0.423538816,0.23431923,0.373768405,0.419969512,0.605605852,0.495552313,0.28270003,0.502286585,0.318067743,0.281310418,0.335928205,0.355680213,0.517581611,0.385512716,0.442500744,0.345850684,0.39134072,0.478142661,0.388868233,0.200104105
16,0.306985704,0.334529298,0.374867546,0.350059024,0.241295174,0.366253347,0.478491226,0.320210255,0.448695903,0.394157124,0.383709474,0.313287757,0.457119553,0.5440981,0.238915638,0.358326982,0.23851595,0.282834808,0.279251562,0.33812184
32,0.496485305,0.290213926,0.307222729,0.297928828,0.585710933,0.4246519,0.314648321,0.245403592,0.301493484,0.445569276,0.25343104,0.479653108,0.343112127,0.392164495,0.380208721,0.352143442,0.443897327,0.641375577,0.388851967,0.27788054
64,0.428756832,0.375714558,0.341554042,0.437626064,0.304155939,0.439127798,0.478607995,0.383242978,0.420000883,0.446706179,0.343216115,0.482526445,0.377237206,0.401457234,0.395399758,0.417126385,0.423871115,0.385155437,0.472158964,0.375841203
128,0.37594432,0.368628235,0.366203676,0.348781824,0.324337262,0.405718729,0.420964375,0.325806173,0.328339077,0.427703295,0.424357944,0.334015746,0.384335438,0.335996175,0.457338859,0.431556098,0.401024142,0.328629838,0.379970535,0.357357391
256,0.408189764,0.403952377,0.426572638,0.39137485,0.390194668,0.376141114,0.414872333,0.380134215,0.341535452,0.372779642,0.425843556,0.372393171,0.354250661,0.419562418,0.376834032,0.414374756,0.408209951,0.367457638,0.381876894,0.407198532
512,0.442958526,0.36770708,0.372381407,0.372845942,0.40172011,0.402417457,0.378387542,0.39040889,0.381620191,0.386835955,0.383594738,0.398358565,0.366583902,0.391888112,0.400214527,0.405864618,0.381731513,0.386298584,0.368225134,0.383359457
1024,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282,0.366814282
2048,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667,0.376919667
4096,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572,0.383758572
4,0.152829417,0.436105741,0.3891192,0.243019408,1.449090943,0.184246728,0.632556886,0.460049821,0.767948765,0.327883329,0.380567743,0.831443338,0.331685009,0.533917683,0.682452781,0.306709176,0.503680845,0.982766954,0.376580161,0.416799896
8,0.531045509,0.601627566,0.342155897,0.326651733,0.588475052,0.561802871,0.566896565,0.926857154,0.520035507,0.402587746,0.379229254,0.645504908,0.610067482,0.480935827,0.645569973,0.308400878,0.190576666,0.334157496,0.574458098,0.475707354
16,0.352566367,0.644477804,0.559906678,0.401151658,1.178637158,0.471164393,0.235931923,0.448175379,0.485369572,0.650036251,0.375276528,0.561988772,0.712866226,0.713005652,0.39248866,0.428170081,0.690618494,0.75335087,0.519298874,0.371960515
32,0.379217635,0.535462987,0.472641146,0.472981577,0.593682611,0.477519892,0.50777532,0.642478203,0.553846297,0.499502714,0.50139426,0.564749405,0.659019929,0.532811571,0.562451201,0.450457317,0.501429116,0.557740928,0.652334455,0.642664105
64,0.588785275,0.433924306,0.531998834,0.613967923,0.524501204,0.473687421,0.692149855,0.473380684,0.707742903,0.54467207,0.518015574,0.661395979,0.699220493,0.510104895,0.568793338,0.604864571,0.638340158,0.49479128,0.533753277,0.53571802
128,0.483116972,0.437664116,0.467451015,0.502982844,0.462183039,0.631085942,0.598667379,0.527558989,0.580063311,0.507147032,0.59995765,0.43023649,0.507788391,0.660076661,0.588647882,0.460606364,0.515252907,0.505346404,0.563113474,0.474749673
256,0.42902087,0.542827146,0.510913565,0.544199329,0.545886528,0.511853093,0.598632232,0.519067223,0.589225338,0.568460168,0.545466508,0.485337475,0.493232759,0.564617096,0.527584696,0.530225074,0.562418087,0.462175051,0.501228691,0.496872357
512,0.489740212,0.547254064,0.542769197,0.536408469,0.530075918,0.476309791,0.515222117,0.536456252,0.524585731,0.512989632,0.516131218,0.50701327,0.528455817,0.548752675,0.523448974,0.550788875,0.559693981,0.503556596,0.541883479,0.529378497
1024,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293,0.524683293
2048,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024,0.55773024
4096,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512,0.52965512
